_0x0                                                             0x0-2018-06-24
antfs-cli                                                        antfs-cli-unstable-2017-02-11
anthy                                                            anthy-9100h
antibody                                                         antibody-4.1.1
antigen                                                          antigen-2.2.3
antimicro                                                        antimicro-2.23
antimony                                                         antimony-2018-10-20
antiword                                                         antiword-0.37
antlr                                                            antlr-2.7.7
antlr3_4                                                         antlr-3.4
antlr3                                                           antlr-3.5.2
antlr4                                                           antlr-4.7.1
ants                                                             ANTs-2.2.0
anttweakbar                                                      AntTweakBar-1.16
any-nix-shell                                                    any-nix-shell-1.1.0
anydesk                                                          anydesk-4.0.1
alsaPluginWrapper                                                ap64
activemq                                                         apache-activemq-5.14.5
apache-directory-studio                                          apache-directory-studio-2.0.0.v20170904-M13
felix                                                            apache-felix-5.6.1
felix_remoteshell                                                apache-felix-remoteshell-bundle-1.1.2
apache-flex-sdk                                                  apache-flex-sdk-4.16.1
adobe_flex_sdk                                                   apache-flex-sdk-4.16.1
apacheHttpd                                                      apache-httpd-2.4.39
apache-jena                                                      apache-jena-3.7.0
fuseki                                                           apache-jena-fuseki-3.10.0
joseki                                                           apache-jena-fuseki-3.10.0
apache-jena-fuseki                                               apache-jena-fuseki-3.10.0
apacheKafka_0_9                                                  apache-kafka-2.11-0.9.0.1
apacheKafka_0_10                                                 apache-kafka-2.12-0.10.2.2
apacheKafka_0_11                                                 apache-kafka-2.12-0.11.0.3
apacheKafka_1_0                                                  apache-kafka-2.12-1.0.2
apacheKafka_1_1                                                  apache-kafka-2.12-1.1.1
apacheKafka_2_0                                                  apache-kafka-2.12-2.0.1
apacheKafka_2_1                                                  apache-kafka-2.12-2.1.1
apacheKafka                                                      apache-kafka-2.12-2.2.0
maven                                                            apache-maven-3.6.1
storm                                                            apache-storm-1.2.1
tomcat7                                                          apache-tomcat-7.0.92
tomcat8                                                          apache-tomcat-8.0.53
tomcat85                                                         apache-tomcat-8.5.35
tomcat9                                                          apache-tomcat-9.0.13
apcupsd                                                          apcupsd-3.14.14
ape                                                              ape-6.7-131003
apeClex                                                          ape-clex-6.7-131003
apfel                                                            apfel-3.0.3
apfelgrid                                                        apfelgrid-1.0.1
apg                                                              apg-2.3.0b
apitrace                                                         apitrace-7.1-572-g26966134
apktool                                                          apktool-2.4.0
apmplanner2                                                      apmplanner2-2.0.26
apparix                                                          apparix-11-062
apparmor-bin-utils                                               apparmor-bin-utils-2.13.1
apparmor-kernel-patches                                          apparmor-kernel-patches-2.13.1
apparmor-pam                                                     apparmor-pam-2.13.1
apparmor-parser                                                  apparmor-parser-2.13.1
apparmor-profiles                                                apparmor-profiles-2.13.1
apparmor-utils                                                   apparmor-utils-2.13.1
appdaemon                                                        appdaemon-3.0.4
appeditor                                                        appeditor-1.1.0
appimage-run                                                     appimage-run
appimagekit                                                      appimagekit-20180727
python27Packages.appleseed                                       appleseed-2.0.5-beta
appleseed                                                        appleseed-2.0.5-beta
applgrid                                                         applgrid-1.4.70
xorg.appres                                                      appres-1.0.5
appstream                                                        appstream-0.12.6
appstream-glib                                                   appstream-glib-0.7.15
appstream-qt                                                     appstream-qt-0.12.6
apr                                                              apr-1.6.5
aprutil                                                          apr-util-1.6.1
apt                                                              apt-1.4.6
apt-cacher-ng                                                    apt-cacher-ng-3.2
apt-dater                                                        apt-dater-1.0.4
apt-offline                                                      apt-offline-1.8.1
aptly                                                            aptly-1.3.0
apulse                                                           apulse-0.1.12
apvlv                                                            apvlv-0.1.5
aqbanking                                                        aqbanking-5.7.8
aqemu                                                            aqemu-0.9.2
arachne-pnr                                                      arachne-pnr-2018.09.09
aragorn                                                          aragorn-1.2.38
arandr                                                           arandr-0.1.9
arangodb                                                         arangodb-3.3.19
aravis                                                           aravis-0.6.2
arb                                                              arb-2.16.0
arc-icon-theme                                                   arc-icon-theme-2016-11-22
arc-kde-theme                                                    arc-kde-theme-2017-11-09
arc-theme                                                        arc-theme-20190330
arcanist                                                         arcanist-20180916
archimedes                                                       archimedes-2.0.1
archivemount                                                     archivemount-0.8.12
archiveopteryx                                                   archiveopteryx-3.2.0
archiver                                                         archiver-3.0.0
slimThemes.archlinuxSimple                                       archlinux-simple-testing
ardour                                                           ardour-5.12
arduino                                                          arduino-1.8.5
arduino-core                                                     arduino-core-1.8.5
arduino_core                                                     arduino-core-1.8.5
arduino-mk                                                       arduino-mk-1.6.0
areca                                                            areca-7.5
arelle                                                           arelle-18.3
arena                                                            arena-1.1
argo                                                             argo-2.2.1
argp-standalone                                                  argp-standalone-1.3
argtable                                                         argtable-3.0.1
arguments                                                        arguments-2015-11-30
argus                                                            argus-3.0.8.2
argus-clients                                                    argus-clients-3.0.8.2
argyllcms                                                        argyllcms-2.1.0
aria                                                             aria2-1.34.0
ario                                                             ario-1.6
ark                                                              ark-18.12.3
arkpandora_ttf                                                   arkpandora-2.04
armTrustedFirmwareQemu                                           arm-trusted-firmware-qemu-2.0
armTrustedFirmwareRK3328                                         arm-trusted-firmware-rk3328-2.0
armTrustedFirmwareRK3399                                         arm-trusted-firmware-rk3399-2.0
armTrustedFirmwareAllwinner                                      arm-trusted-firmware-sun50iw1p1-1.0
armadillo                                                        armadillo-9.300.2
armagetronad                                                     armagetron-0.2.8.3.4
arora                                                            arora-0.11.0
unixtools.arp                                                    arp-1003.1-2008
arp-scan                                                         arp-scan-1.9.5
arpa2cm                                                          arpa2cm-0.5
arpack                                                           arpack-3.7.0
arphic-ukai                                                      arphic-ukai-0.2.20080216.2
arphic-uming                                                     arphic-uming-0.2.20080216.2
arping                                                           arping-2.19
arpoison                                                         arpoison-0.7
arrow-cpp                                                        arrow-cpp-0.13.0
parquet-cpp                                                      arrow-cpp-0.13.0
artha                                                            artha-1.0.3
artyFX                                                           artyFX-1.3
arx-libertatis                                                   arx-libertatis-2019-02-16
as31                                                             as31-2.3.1
asc                                                              asc-2.6.0.0
asc-key-to-qr-code-gif                                           asc-key-to-qr-code-gif-20180613
ascii                                                            ascii-3.18
asciidoc                                                         asciidoc-8.6.9
asciidocFull                                                     asciidoc-full-8.6.9
